ASM	ОпКод	Назначение	Смысл второго параметра	Кол-во используемых (убираемых) элементов стека	Кол-во помещаемых элементов стека	Мнемоника	Приоритет	
Nop	0	Нет операции						
LineNum	1	Начало строки кода	Номер строки в исходном модуле		0			
LdVar	2	Загрузить в стек глобальную переменную	Индекс переменной во внешнем блоке Var	0	1			
LdLoc	3	Загрузить в стек локальную переменную	Индекс переменной во внутреннем блоке Var	0	1			
LdConst	4	Загрузить в стек константное значение	Индекс переменной в блоке Const	0	1			
LdRet	5	Загрузить на стек результат последней функции/метода	0	0	1			
LdFalse	6	Загрузить на стек Ложь	0	0	1	Ложь		
LdTrue	7	Загрузить на стек Истина	0	0	1	Истина		
LdUndef	8	Загрузить на стек Неопределено	0	0	1	Неопределено		
LdNull	9	Загрузить на стек Null	0	0	1	Null		
LdNone	10	Загрузить на стек пустое значение		0	1			
Unknown	11							
LdProp	12	Получение свойства .<Имя Свойства>	Индекс константного значения в Const, являющегося именем свойства	1	1			
LdIndex	13	Получение элемента массива []		2	1			
Iter	14	Получить из коллекции выборку		1	1			
Next	15	Получить из выборки очередной элемент коллекции. Этот элемент попадает в переменную, которая была на вершине стека, а в стек вместо этой переменной помещается результат успешности (Истина - получили очередной элемент, Ложь - нет)	0	1	1			
Assign	16	Операция = (присвоение)	0	2	0	=	7	
Ret	17	Возврат (установить результат функции/метода)	0	1	0			
ArgNum	18	Указание количества используемых параметров в следующем вызове (метода, функции)	Количество параметров, используемых в следующем вызове. После вызова, параметры убираются из стека, а метод (если следующим идет именно вызов метода) применяется к следующему элементу стека (который тоже убирается)					
CallLoc	19	Вызов локальной процедуры или функции	Индекс локальной процедуры в блоке Proc	* (см.18)	0			
CallProc	20	Выполнение метода .<Имя метода>() (являющегося процедурой, т.е. без возврата значения)	Индекс константного значения в Const, являющегося именем метода	* (см.18)	0			
CallFunc	21	Выполнение метода .<Имя метода>() (являющегося функцией, т.е. возвращающий значение)	Индекс константного значения в Const, являющегося именем метода	* (см.18)	0			
End	22	Конец блока (процедуры, модуля)						
Minus	23	Операция -	0	1	1	-		
Add	24	Операция +	0	2	1	+	2	
Sub	25	Операция -	0	2	1	-	2	
Mul	26	Операция *	0	2	1	*	1	
Div	27	Операция /	0	2	1	/	1	
Mod	28	Операция %	0	2	1	%	1	
Not	29	Операция Не	0	1	1	Не	3	
And	30	Операция И. Если операнд на вершине стека Ложь, то происходит переход по адресу, указаному во втором параметре, т.е. пропуск вычисления второго операнда, т.к. от него уже ничего не зависит. Из стека при этом значение не удаляется (результатом операции является Ложь). Иначе, если на вершине стека Истина, из стека удаляется значение и перехода не происходит, т.е. вычисляется второй операнд, результат которого полностью определяет результат всей операции)	Индекс шага в блоке Cmd	0 или 1	0	И	5	
Or	31	Операция Или. Если операнд на вершине стека Истина, то происходит переход по адресу, указаному во втором параметре, т.е. пропуск вычисления второго операнда, т.к. от него уже ничего не зависит. Из стека при этом значение не удаляется (результатом операции является Истина). Иначе, если на вершине стека Ложь, из стека удаляется значение и перехода не происходит, т.е. вычисляется второй операнд, результат которого полностью определяет результат всей операции)	Индекс шага в блоке Cmd	0 или 1	0	Или	6	
Unused	32							
Cmp	33	Операция = (сравнение)	0	2	1	=	4	
Ne	34	Операция <>	0	2	1	<>	4	
Gt	35	Операция >	0	2	1	>	4	
Lt	36	Операция <	0	2	1	<	4	
Gte	37	Операция >=	0	2	1	>=	4	
Lte	38	Операция <=	0	2	1	<=	4	
Jmp	39	Переход на заданный шаг	Индекс шага в блоке Cmd					
JmpFalse	40	Переход, если Ложь	Индекс шага в блоке Cmd	1	0			
JmpTrue	41	Переход, если Истина	Индекс шага в блоке Cmd	1	0			Компилятор 1С эту команду никогда не использует
Goto	42	Перейти	Индекс метки в блоке Lbl			Перейти		
Inc	43	Инкремент	0	1	1			
BeginTry	44	Попытка	Индекс шага в блоке Cmd раздела Исключение			Попытка		
